,Aula,Month,Lower,Upper,Comfort
0,A-11,1,29.3,2.15,68.55
1,A-11,2,20.83,0.15,79.02000000000001
2,A-11,3,9.29,0.0,90.71000000000001
3,A-11,4,2.92,0.83,96.25
4,A-11,5,0.27,0.94,98.79
5,A-11,6,0.0,4.72,95.28
6,A-11,7,0.0,15.86,84.14
7,A-11,8,0.0,27.55,72.45
8,A-11,9,0.42,16.11,83.47
9,A-11,10,0.0,30.63,69.37
10,A-11,11,5.97,0.0,94.03
11,A-11,12,6.85,0.0,93.15
12,A-12,1,28.09,2.02,69.89
13,A-12,2,12.95,0.0,87.05
14,A-12,3,8.75,0.0,91.25
15,A-12,4,2.08,0.0,97.92
16,A-12,5,0.54,0.13,99.33
17,A-12,6,0.0,4.72,95.28
18,A-12,7,0.0,14.65,85.35
19,A-12,8,0.0,28.23,71.77
20,A-12,9,0.56,15.83,83.61
21,A-12,10,0.0,26.63,73.37
22,A-12,11,3.75,0.0,96.25
23,A-12,12,3.36,0.27,96.37
24,A-13,1,24.73,1.34,73.93
25,A-13,2,12.65,0.0,87.35
26,A-13,3,10.09,0.0,89.91
27,A-13,4,2.5,0.0,97.5
28,A-13,5,0.0,0.27,99.73
29,A-13,6,0.0,5.14,94.86
30,A-13,7,0.0,16.13,83.87
31,A-13,8,0.0,31.05,68.95
32,A-13,9,0.56,12.92,86.52
33,A-13,10,0.0,23.17,76.83
34,A-13,11,4.72,0.0,95.28
35,A-13,12,1.61,0.0,98.39
36,A-14,1,22.04,1.08,76.88
37,A-14,2,11.46,0.0,88.53999999999999
38,A-14,3,9.15,0.0,90.85
39,A-14,4,2.22,0.0,97.78
40,A-14,5,0.0,0.13,99.87
41,A-14,6,0.0,6.53,93.47
42,A-14,7,0.0,19.35,80.65
43,A-14,8,0.0,33.2,66.8
44,A-14,9,0.28,11.11,88.61
45,A-14,10,0.0,25.03,74.97
46,A-14,11,3.33,0.14,96.53
47,A-14,12,0.0,0.13,99.87
48,A-21,1,29.97,0.94,69.09
49,A-21,2,29.02,0.0,70.98
50,A-21,3,12.65,0.0,87.35
51,A-21,4,4.31,0.0,95.69
52,A-21,5,0.13,0.13,99.74
53,A-21,6,0.0,0.83,99.17
54,A-21,7,0.0,5.11,94.89
55,A-21,8,0.0,18.15,81.85
56,A-21,9,0.56,7.92,91.52
57,A-21,10,0.0,15.05,84.95
58,A-21,11,6.67,0.0,93.33
59,A-21,12,9.01,0.13,90.86
60,A-22,1,28.36,1.08,70.56
61,A-22,2,23.36,0.0,76.64
62,A-22,3,11.31,0.54,88.15
63,A-22,4,5.42,0.0,94.58
64,A-22,5,0.0,0.13,99.87
65,A-22,6,0.0,0.28,99.72
66,A-22,7,0.0,4.44,95.56
67,A-22,8,0.0,17.07,82.93
68,A-22,9,0.83,6.94,92.23
69,A-22,10,0.0,7.59,92.41
70,A-22,11,9.44,0.0,90.56
71,A-22,12,8.74,0.0,91.26
72,A-23,1,23.25,0.4,76.35
73,A-23,2,12.95,0.0,87.05
74,A-23,3,10.77,0.0,89.23
75,A-23,4,3.19,0.0,96.81
76,A-23,5,0.67,0.0,99.33
77,A-23,6,0.0,0.28,99.72
78,A-23,7,0.0,4.57,95.43
79,A-23,8,0.0,18.55,81.45
80,A-23,9,0.83,4.86,94.31
81,A-23,10,0.0,6.92,93.08
82,A-23,11,5.83,0.0,94.17
83,A-23,12,0.27,0.13,99.6
84,A-24,1,23.52,0.94,75.53999999999999
85,A-24,2,14.58,0.0,85.42
86,A-24,3,11.71,0.0,88.28999999999999
87,A-24,4,4.58,0.0,95.42
88,A-24,5,0.4,0.0,99.6
89,A-24,6,0.0,0.28,99.72
90,A-24,7,0.0,4.44,95.56
91,A-24,8,0.0,16.67,83.33
92,A-24,9,0.69,5.28,94.03
93,A-24,10,0.0,6.39,93.61
94,A-24,11,2.78,3.19,94.03
95,A-24,12,4.03,0.0,95.97
96,A-31,1,38.31,0.13,61.559999999999995
97,A-31,2,35.42,0.0,64.58
98,A-31,3,14.0,0.0,86.0
99,A-31,4,4.03,0.0,95.97
100,A-31,5,0.27,0.13,99.6
101,A-31,6,0.0,0.28,99.72
102,A-31,7,0.0,4.57,95.43
103,A-31,8,0.0,11.96,88.03999999999999
104,A-31,9,0.56,6.39,93.05
105,A-31,10,0.0,9.19,90.81
106,A-31,11,5.69,0.0,94.31
107,A-31,12,9.95,0.0,90.05
108,A-32,1,31.05,1.21,67.74000000000001
109,A-32,2,17.41,0.0,82.59
110,A-32,3,11.44,0.0,88.56
111,A-32,4,3.75,0.0,96.25
112,A-32,5,0.0,0.0,100.0
113,A-32,6,0.0,0.0,100.0
114,A-32,7,0.0,2.02,97.98
115,A-32,8,0.0,9.68,90.32
116,A-32,9,1.53,4.44,94.03
117,A-32,10,0.0,6.13,93.87
118,A-32,11,8.19,0.0,91.81
119,A-32,12,0.4,0.0,99.6
120,A-33,1,0.0,0.0,100.0
121,A-33,2,0.0,0.0,100.0
122,A-33,3,0.94,0.0,99.06
123,A-33,4,2.5,0.0,97.5
124,A-33,5,0.0,0.0,100.0
125,A-33,6,0.0,0.14,99.86
126,A-33,7,0.0,3.36,96.64
127,A-33,8,0.0,16.4,83.6
128,A-33,9,0.69,5.28,94.03
129,A-33,10,0.0,7.59,92.41
130,A-33,11,6.25,0.0,93.75
131,A-33,12,0.0,0.0,100.0
132,A-34,1,31.59,0.0,68.41
133,A-34,2,23.07,0.0,76.93
134,A-34,3,13.86,0.0,86.14
135,A-34,4,4.86,0.0,95.14
136,A-34,5,0.81,0.0,99.19
137,A-34,6,0.0,0.0,100.0
138,A-34,7,0.0,2.96,97.04
139,A-34,8,0.0,9.68,90.32
140,A-34,9,1.25,3.06,95.69
141,A-34,10,0.0,5.59,94.41
142,A-34,11,8.61,0.0,91.39
143,A-34,12,5.11,0.0,94.89
144,A-35,1,32.93,0.0,67.07
145,A-35,2,20.83,0.0,79.17
146,A-35,3,13.86,0.0,86.14
147,A-35,4,4.58,0.0,95.42
148,A-35,5,0.81,0.0,99.19
149,A-35,6,0.0,0.0,100.0
150,A-35,7,0.0,3.09,96.91
151,A-35,8,0.0,11.16,88.84
152,A-35,9,1.25,7.36,91.39
153,A-35,10,0.0,5.73,94.27
154,A-35,11,8.19,0.0,91.81
155,A-35,12,2.42,0.0,97.58
156,A-36,1,5.38,0.27,94.35
157,A-36,2,2.08,0.0,97.92
158,A-36,3,3.1,0.0,96.9
159,A-36,4,2.22,0.0,97.78
160,A-36,5,0.0,0.0,100.0
161,A-36,6,0.0,0.56,99.44
162,A-36,7,0.0,3.23,96.77
163,A-36,8,0.0,20.7,79.3
164,A-36,9,0.56,3.47,95.97
165,A-36,10,0.0,6.39,93.61
166,A-36,11,1.39,0.28,98.33
167,A-36,12,0.13,0.0,99.87
168,A-41,1,32.26,0.0,67.74000000000001
169,A-41,2,21.58,0.0,78.42
170,A-41,3,11.98,0.0,88.02
171,A-41,4,2.22,0.0,97.78
172,A-41,5,0.27,0.0,99.73
173,A-41,6,0.0,0.28,99.72
174,A-41,7,0.0,2.42,97.58
175,A-41,8,0.0,9.81,90.19
176,A-41,9,0.69,5.0,94.31
177,A-41,10,0.0,6.52,93.48
178,A-41,11,6.25,0.0,93.75
179,A-41,12,5.38,0.0,94.62
180,A-42,1,12.37,0.0,87.63
181,A-42,2,6.1,0.0,93.9
182,A-42,3,6.86,0.0,93.14
183,A-42,4,0.28,0.0,99.72
184,A-42,5,0.0,0.13,99.87
185,A-42,6,0.0,0.42,99.58
186,A-42,7,0.0,5.78,94.22
187,A-42,8,0.0,25.81,74.19
188,A-42,9,0.0,8.89,91.11
189,A-42,10,0.0,18.11,81.89
190,A-42,11,0.0,0.0,100.0
191,A-42,12,0.0,0.0,100.0
192,A-43,1,15.19,0.13,84.68
193,A-43,2,10.86,0.0,89.14
194,A-43,3,9.56,0.0,90.44
195,A-43,4,2.64,0.0,97.36
196,A-43,5,0.81,0.0,99.19
197,A-43,6,0.0,0.0,100.0
198,A-43,7,0.0,2.82,97.18
199,A-43,8,0.0,10.75,89.25
200,A-43,9,0.42,2.78,96.8
201,A-43,10,0.0,5.73,94.27
202,A-43,11,1.53,0.0,98.47
203,A-43,12,0.0,0.0,100.0
204,A-44,1,31.45,0.0,68.55
205,A-44,2,19.2,0.0,80.8
206,A-44,3,12.65,0.0,87.35
207,A-44,4,3.33,0.0,96.67
208,A-44,5,0.4,0.4,99.2
209,A-44,6,0.0,0.0,100.0
210,A-44,7,0.0,2.15,97.85
211,A-44,8,0.0,6.18,93.82
212,A-44,9,0.69,2.22,97.09
213,A-44,10,0.0,5.33,94.67
214,A-44,11,6.67,0.0,93.33
215,A-44,12,1.21,0.0,98.79
216,A-51,1,34.54,0.0,65.46000000000001
217,A-51,2,31.4,0.0,68.6
218,A-51,3,14.54,0.0,85.46000000000001
219,A-51,4,5.14,0.0,94.86
220,A-51,5,0.67,0.13,99.2
221,A-51,6,0.0,1.81,98.19
222,A-51,7,0.0,3.9,96.1
223,A-51,8,0.0,10.89,89.11
224,A-51,9,0.69,4.72,94.59
225,A-51,10,0.0,6.66,93.34
226,A-51,11,7.36,0.0,92.64
227,A-51,12,9.54,0.0,90.46000000000001
228,A-52,1,35.48,0.0,64.52000000000001
229,A-52,2,29.17,0.0,70.83
230,A-52,3,14.4,0.0,85.6
231,A-52,4,3.89,0.0,96.11
232,A-52,5,0.67,0.13,99.2
233,A-52,6,0.0,1.39,98.61
234,A-52,7,0.0,2.02,97.98
235,A-52,8,0.0,8.2,91.8
236,A-52,9,0.69,3.47,95.84
237,A-52,10,0.0,5.59,94.41
238,A-52,11,6.81,0.0,93.19
239,A-52,12,7.53,0.0,92.47
240,A-53,1,31.99,0.0,68.01
241,A-53,2,20.54,0.0,79.46000000000001
242,A-53,3,15.07,0.0,84.93
243,A-53,4,7.64,0.0,92.36
244,A-53,5,1.21,0.0,98.79
245,A-53,6,0.0,0.56,99.44
246,A-53,7,0.0,1.08,98.92
247,A-53,8,0.0,5.38,94.62
248,A-53,9,0.83,2.92,96.25
249,A-53,10,0.0,5.46,94.54
250,A-53,11,7.36,0.0,92.64
251,A-53,12,2.42,0.0,97.58
252,A-54,1,31.45,0.0,68.55
253,A-54,2,18.3,0.0,81.7
254,A-54,3,14.4,0.0,85.6
255,A-54,4,4.17,0.0,95.83
256,A-54,5,0.67,0.0,99.33
257,A-54,6,0.0,0.69,99.31
258,A-54,7,0.0,1.08,98.92
259,A-54,8,0.0,5.65,94.35
260,A-54,9,0.69,3.06,96.25
261,A-54,10,0.0,5.06,94.94
262,A-54,11,5.97,0.0,94.03
263,A-54,12,0.81,0.0,99.19
264,A-55,1,22.98,0.0,77.02
265,A-55,2,14.43,0.0,85.57
266,A-55,3,12.79,0.0,87.21000000000001
267,A-55,4,3.33,0.0,96.67
268,A-55,5,0.67,0.13,99.2
269,A-55,6,0.0,0.14,99.86
270,A-55,7,0.0,3.23,96.77
271,A-55,8,0.0,12.37,87.63
272,A-55,9,0.69,2.92,96.39
273,A-55,10,0.0,5.86,94.14
274,A-55,11,0.83,0.0,99.17
275,A-55,12,1.34,0.0,98.66
276,A-56,1,19.62,0.0,80.38
277,A-56,2,11.76,0.0,88.24
278,A-56,3,11.71,0.0,88.28999999999999
279,A-56,4,2.22,0.0,97.78
280,A-56,5,0.0,0.0,100.0
281,A-56,6,0.0,0.0,100.0
282,A-56,7,0.0,3.63,96.37
283,A-56,8,0.0,13.17,86.83
284,A-56,9,0.42,3.89,95.69
285,A-56,10,0.0,7.06,92.94
286,A-56,11,0.56,0.0,99.44
287,A-56,12,0.54,0.0,99.46
288,A-61,1,36.29,0.13,63.58
289,A-61,2,31.1,0.0,68.9
290,A-61,3,14.94,0.0,85.06
291,A-61,4,4.31,0.0,95.69
292,A-61,5,0.0,0.13,99.87
293,A-61,6,0.0,1.11,98.89
294,A-61,7,0.0,2.15,97.85
295,A-61,8,0.0,12.23,87.77
296,A-61,9,0.69,2.78,96.53
297,A-61,10,0.0,9.32,90.68
298,A-61,11,6.81,0.0,93.19
299,A-61,12,9.27,0.0,90.73
300,A-62,1,24.73,0.0,75.27
301,A-62,2,18.9,0.0,81.1
302,A-62,3,11.98,0.0,88.02
303,A-62,4,2.08,0.0,97.92
304,A-62,5,0.0,0.0,100.0
305,A-62,6,0.0,1.81,98.19
306,A-62,7,0.0,5.65,94.35
307,A-62,8,0.0,19.35,80.65
308,A-62,9,0.56,4.86,94.58
309,A-62,10,0.0,10.79,89.21000000000001
310,A-62,11,1.39,0.0,98.61
311,A-62,12,5.78,0.0,94.22
